id_employe,nom,prenom,sexe,date_naissance,date_embauche,poste,service,type_contrat,statut,anciennete
1001,Riou,Bertrand,M,1966-02-25,2023-01-24,Ingénieur Système,RH,CDI,Inactif,2
1002,Paris,Jacqueline,F,1979-08-22,2012-10-28,Analyste RH,Finance,CDD,Inactif,13
1003,Gallet,Caroline,F,2001-07-25,2011-12-06,Comptable,Finance,CDI,Inactif,14
1004,Maury,Pauline,F,1966-08-12,2010-12-16,Chef de projet,RH,Intérim,Actif,15
1005,Morin,Gabrielle,F,1980-04-13,2019-01-18,Analyste RH,IT,CDD,Actif,6
1006,Marion,Alexandre,M,2002-08-23,2013-10-31,Développeur,RH,CDD,Actif,12
1007,Auger,Victor,M,2001-07-14,2017-08-02,Chef de projet,RH,CDD,Inactif,8
1008,Vasseur,Sophie,F,1983-05-20,2024-03-21,Analyste RH,Finance,CDD,Inactif,1
1009,Robert,Édouard,M,1993-03-18,2016-03-28,Comptable,Direction,Intérim,Inactif,9
1010,Lopes,Colette,F,1979-02-07,2023-06-10,Développeur,Direction,CDD,Inactif,2
1011,Marques,Caroline,F,1970-10-06,2016-11-29,Ingénieur Système,Direction,CDD,Actif,9
1012,Pereira,Joseph,M,1987-11-10,2020-09-20,Chef de projet,Commercial,CDD,Inactif,5
1013,Aubry,Amélie,F,1995-09-19,2019-07-29,Analyste RH,Direction,CDI,Inactif,6
1014,Denis,Laurent,M,1969-10-24,2019-11-04,Analyste RH,Direction,Intérim,Inactif,6
1015,Cousin,Maryse,F,1977-07-15,2022-06-09,Chef de projet,Direction,CDI,Inactif,3
1016,Muller,Amélie,F,1979-12-17,2023-08-08,Comptable,RH,CDD,Inactif,2
1017,Charpentier,Audrey,F,1980-04-17,2012-03-02,Ingénieur Système,Finance,CDD,Actif,13
1018,Gillet,Laurence,F,1995-04-22,2021-04-07,Analyste RH,Finance,CDI,Actif,4
1019,Marchal,Corinne,F,1989-08-22,2016-06-29,Chef de projet,Commercial,CDI,Inactif,9
1020,Lacroix,Juliette,F,1969-04-23,2020-10-24,Analyste RH,IT,CDD,Actif,5
1021,Bousquet,Denise,F,2000-10-19,2022-11-08,Ingénieur Système,IT,CDI,Inactif,3
1022,Moulin,Édouard,M,1995-11-28,2016-11-26,Ingénieur Système,Direction,CDI,Inactif,9
1023,Dupuy,Geneviève,F,1986-07-09,2023-07-10,Comptable,Finance,CDI,Actif,2
1024,Diallo,Antoine,M,1980-01-15,2024-06-06,Ingénieur Système,Direction,Intérim,Inactif,1
1025,David,Hugues,M,1991-10-02,2015-01-02,Chef de projet,IT,CDD,Inactif,10
